instance,jobs,machines,std_makespan,std_time_ms,block_makespan,block_time_ms
1,20,5,1297,84.926,1431,86.121
2,20,5,1365,84.041,1461,85.738
3,20,5,1161,86.292,1353,86.716
4,20,5,1329,83.751,1526,86.522
5,20,5,1269,84.117,1388,85.801
6,20,5,1224,83.398,1453,86.568
7,20,5,1253,98.678,1430,89.365
8,20,5,1227,85.591,1447,87.610
9,20,5,1272,84.433,1457,86.095
10,20,5,1146,83.667,1339,84.823
11,20,10,1668,116.481,1798,127.708
12,20,10,1750,120.431,1903,129.352
13,20,10,1558,116.816,1748,127.069
14,20,10,1418,114.629,1625,127.876
15,20,10,1502,115.115,1722,127.626
16,20,10,1453,115.647,1668,127.000
17,20,10,1542,123.030,1718,131.438
18,20,10,1620,118.569,1814,127.308
19,20,10,1664,123.296,1832,131.504
20,20,10,1656,123.661,1854,146.435
21,20,20,2399,208.068,2530,230.645
22,20,20,2127,195.506,2285,214.412
23,20,20,2401,191.673,2566,231.151
24,20,20,2262,198.337,2399,210.501
25,20,20,2397,199.022,2538,207.237
26,20,20,2325,204.382,2467,216.789
27,20,20,2362,195.013,2475,209.213
28,20,20,2249,189.245,2411,206.460
29,20,20,2306,193.830,2421,213.806
30,20,20,2277,190.420,2409,205.813
31,50,5,2730,456.507,3310,491.151
32,50,5,2882,465.186,3551,503.308
33,50,5,2625,466.329,3310,493.757
34,50,5,2783,461.610,3405,507.635
35,50,5,2876,467.099,3497,490.787
36,50,5,2842,461.491,3381,493.138
37,50,5,2802,476.917,3259,495.498
38,50,5,2688,467.745,3301,503.509
39,50,5,2575,467.898,3117,506.999
40,50,5,2786,461.859,3407,493.820
41,50,10,3133,672.868,3895,772.883
42,50,10,3042,672.165,3776,770.707
43,50,10,3029,674.378,3819,779.102
44,50,10,3158,685.742,3981,777.025
45,50,10,3154,664.200,3926,764.977
46,50,10,3127,673.591,3844,756.055
47,50,10,3311,672.361,3916,767.904
48,50,10,3140,674.454,3807,772.785
49,50,10,3017,683.283,3851,776.638
50,50,10,3258,682.641,3906,781.985
51,50,20,4054,1116.023,4846,1275.676
52,50,20,3909,1125.901,4635,1277.497
53,50,20,3913,1129.975,4669,1284.278
54,50,20,3956,1136.154,4724,1296.624
55,50,20,3906,1145.211,4475,1281.015
56,50,20,3888,1143.037,4566,1268.628
57,50,20,3968,1149.714,4600,1288.869
58,50,20,3966,1143.073,4756,1256.415
59,50,20,3918,1154.119,4576,1273.111
60,50,20,4015,1152.566,4793,1294.461
61,100,5,5535,1784.152,6762,1955.974
62,100,5,5288,1827.153,6568,1932.327
63,100,5,5219,1787.115,6431,1950.408
64,100,5,5023,1797.416,6172,1955.668
65,100,5,5266,1810.089,6442,1984.916
66,100,5,5139,1820.594,6323,1936.145
67,100,5,5272,1829.696,6578,1981.437
68,100,5,5129,1813.921,6331,1977.332
69,100,5,5489,1805.002,6693,1957.553
70,100,5,5334,1812.228,6586,1967.748
71,100,10,5947,2610.424,7558,3022.113
72,100,10,5402,2646.779,7339,3065.977
73,100,10,5740,2635.119,7434,3058.394
74,100,10,5904,2637.375,7682,3040.582
75,100,10,5599,2637.518,7343,3069.975
76,100,10,5409,2630.076,7121,3042.587
77,100,10,5745,2606.530,7363,3067.867
78,100,10,5712,2671.130,7316,3068.008
79,100,10,5998,2650.401,7525,3079.237
80,100,10,5923,2629.948,7562,3013.899
81,100,20,6625,4504.594,8389,5043.810
82,100,20,6592,4498.589,8329,5044.474
83,100,20,6634,4475.807,8288,5009.125
84,100,20,6621,4497.039,8333,5052.523
85,100,20,6685,4484.076,8251,5052.070
86,100,20,6722,4471.832,8360,5023.940
87,100,20,6580,4462.449,8542,5042.716
88,100,20,6800,4530.486,8555,5097.635
89,100,20,6662,4536.058,8303,5052.690
90,100,20,6767,4488.110,8472,5058.455
91,200,10,10976,10322.404,14480,12016.678
92,200,10,10639,10376.125,14433,11964.392
93,200,10,11072,10340.101,14338,12070.954
94,200,10,11057,10371.297,14429,11907.717
95,200,10,10613,10322.070,14426,11922.419
96,200,10,10449,10423.311,14172,12118.646
97,200,10,10960,10317.166,14604,11908.227
98,200,10,10871,10356.962,14562,11915.286
99,200,10,10558,10294.595,14316,12203.693
100,200,10,10794,11204.569,14412,12578.612
101,200,20,11620,18377.963,15768,21259.329
102,200,20,11749,18183.973,15759,20694.367
103,200,20,11839,18590.976,15993,20960.564
104,200,20,11816,18299.415,15932,20628.285
105,200,20,11628,18329.054,15855,20988.360
106,200,20,11717,18350.131,15911,21738.070
107,200,20,11776,19194.073,15900,21584.515
108,200,20,11855,18886.836,15875,20924.503
109,200,20,11659,18909.007,15997,22472.506
110,200,20,11893,18853.596,16027,21587.431
111,500,20,26699,116367.244,38312,131189.777
112,500,20,27163,115952.885,38723,137972.915
113,500,20,26985,119146.010,38251,140642.297
114,500,20,26934,119336.671,38820,130635.513
115,500,20,26816,114164.268,38341,130425.651
116,500,20,27076,113519.046,38667,130717.373
117,500,20,26757,114896.823,38297,135474.826
118,500,20,27179,112569.471,38507,131803.722
119,500,20,26545,114589.849,38277,130883.039
120,500,20,26901,116776.434,38319,128167.996
