instance,jobs,machines,std_makespan,std_time_ms,block_makespan,block_time_ms
1,20,5,1319,0.116,1433,0.110
2,20,5,1365,0.076,1461,0.086
3,20,5,1165,0.075,1353,0.083
4,20,5,1329,0.076,1526,0.084
5,20,5,1305,0.077,1388,0.086
6,20,5,1269,0.076,1458,0.085
7,20,5,1256,0.109,1456,0.087
8,20,5,1227,0.080,1456,0.090
9,20,5,1284,0.078,1457,0.088
10,20,5,1153,0.076,1349,0.085
11,20,10,1668,0.130,1798,0.145
12,20,10,1764,0.153,1903,0.134
13,20,10,1558,0.131,1765,0.144
14,20,10,1418,0.127,1625,0.141
15,20,10,1502,0.130,1722,0.144
16,20,10,1453,0.115,1668,0.134
17,20,10,1542,0.128,1734,0.141
18,20,10,1620,0.135,1814,0.148
19,20,10,1664,0.128,1832,0.142
20,20,10,1656,0.133,1854,0.148
21,20,20,2404,0.234,2530,0.260
22,20,20,2127,0.243,2285,0.285
23,20,20,2401,0.231,2566,0.266
24,20,20,2262,0.256,2399,0.255
25,20,20,2397,0.224,2538,0.249
26,20,20,2349,0.226,2467,0.261
27,20,20,2362,0.236,2475,0.301
28,20,20,2249,0.220,2411,0.256
29,20,20,2306,0.220,2421,0.255
30,20,20,2277,0.235,2409,0.243
31,50,5,2730,1.112,3310,0.988
32,50,5,2882,1.290,3551,1.018
33,50,5,2625,0.909,3310,1.176
34,50,5,2783,0.992,3405,0.994
35,50,5,2876,0.930,3497,1.206
36,50,5,2842,0.884,3381,1.148
37,50,5,2802,1.083,3259,0.993
38,50,5,2688,1.220,3301,1.223
39,50,5,2575,0.917,3117,1.170
40,50,5,2786,0.909,3407,1.152
41,50,10,3133,1.875,3895,2.225
42,50,10,3042,1.707,3776,1.995
43,50,10,3029,1.607,3819,1.898
44,50,10,3158,1.746,3981,2.047
45,50,10,3154,1.615,3926,1.898
46,50,10,3127,1.586,3844,1.902
47,50,10,3311,1.587,3916,1.902
48,50,10,3140,1.706,3807,1.997
49,50,10,3017,1.528,3851,2.124
50,50,10,3258,1.629,3906,1.900
51,50,20,4054,3.053,4846,3.660
52,50,20,3909,3.158,4635,3.820
53,50,20,3913,3.360,4669,3.573
54,50,20,3956,3.130,4724,3.566
55,50,20,3906,3.314,4475,3.684
56,50,20,3888,2.967,4566,3.846
57,50,20,3968,3.012,4600,3.554
58,50,20,3966,3.364,4756,3.831
59,50,20,3918,3.155,4576,3.659
60,50,20,4015,3.262,4793,3.583
61,100,5,5535,7.208,6762,8.036
62,100,5,5288,6.731,6568,8.221
63,100,5,5219,7.119,6431,7.796
64,100,5,5023,6.645,6172,8.802
65,100,5,5266,6.691,6442,8.012
66,100,5,5139,7.131,6323,7.815
67,100,5,5272,7.053,6578,8.085
68,100,5,5129,6.908,6331,7.809
69,100,5,5489,6.957,6693,7.803
70,100,5,5334,6.595,6586,8.452
71,100,10,5947,12.601,7558,15.447
72,100,10,5402,12.467,7339,15.118
73,100,10,5740,12.016,7434,15.348
74,100,10,5904,11.764,7682,14.920
75,100,10,5599,11.627,7343,16.096
76,100,10,5409,11.700,7121,15.507
77,100,10,5745,11.596,7363,15.377
78,100,10,5712,13.730,7316,16.844
79,100,10,5998,12.108,7525,15.298
80,100,10,5923,11.603,7562,15.383
81,100,20,6625,24.055,8389,29.686
82,100,20,6592,24.870,8329,31.025
83,100,20,6634,24.254,8288,29.626
84,100,20,6621,23.621,8333,30.146
85,100,20,6685,23.421,8251,29.718
86,100,20,6722,24.049,8360,31.160
87,100,20,6580,23.979,8542,30.143
88,100,20,6800,24.944,8555,29.023
89,100,20,6662,23.525,8303,29.624
90,100,20,6767,24.039,8472,30.554
91,200,10,10976,94.365,14480,120.149
92,200,10,10639,98.657,14433,126.565
93,200,10,11072,96.169,14338,121.296
94,200,10,11057,93.807,14429,120.321
95,200,10,10613,101.141,14426,125.072
96,200,10,10449,94.742,14172,122.446
97,200,10,10960,101.294,14604,123.577
98,200,10,10871,97.672,14562,120.800
99,200,10,10558,98.169,14316,123.505
100,200,10,10794,100.891,14412,123.210
101,200,20,11620,203.491,15768,244.630
102,200,20,11749,204.203,15759,235.875
103,200,20,11839,203.526,15993,239.725
104,200,20,11816,206.825,15932,235.895
105,200,20,11628,212.907,15855,254.848
106,200,20,11717,216.937,15911,248.512
107,200,20,11776,201.220,15900,235.339
108,200,20,11855,202.658,15875,235.715
109,200,20,11659,204.404,15997,241.504
110,200,20,11893,200.890,16027,237.149
111,500,20,26699,3282.032,38312,3820.179
112,500,20,27163,3191.658,38723,3931.341
113,500,20,26985,3140.916,38251,3790.417
114,500,20,26934,3240.904,38820,4023.716
115,500,20,26816,3109.594,38341,3772.795
116,500,20,27076,3088.993,38667,3767.936
117,500,20,26757,3112.186,38297,3743.245
118,500,20,27179,3131.329,38507,3880.733
119,500,20,26545,3153.225,38277,3752.014
120,500,20,26901,3104.065,38319,3765.741
